species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Coracina larvata,Coracina larvata,Passeriformes,LC,No,Volant,94.5,29.4,Forest,Carnivore,Invertivore,0.2,28.4,17,11.7,10.4,25.5,145.5,42.8,102.7,109.1,Not threatened
Coracina leucopygia,Coracina leucopygia,Passeriformes,LC,Yes,Volant,94.5,32.5,Woodland,Carnivore,Invertivore,-2.11,27.3,16,9.8,9.5,25.1,149.1,48.3,100.2,106.3,Not threatened
Coracina lineata,Coracina lineata,Passeriformes,LC,No,Volant,76,31.9,Forest,Herbivore,Frugivore,-13.78,23.3,13.8,7.7,7.8,24.2,139.5,44.3,94.3,101.8,Not threatened
Coracina longicauda,Coracina longicauda,Passeriformes,LC,No,Volant,101,24.6,Forest,Carnivore,Invertivore,-5.56,28.5,15.9,10.6,9.8,32.2,176.6,43.3,133.3,144.2,Not threatened
Coracina macei,Coracina macei,Passeriformes,LC,No,Volant,105,31,Forest,Carnivore,Invertivore,20.18,29.3,18.8,12.3,10.8,26.8,166.7,51.7,115.1,118.9,Not threatened
Coracina maxima,Coracina maxima,Passeriformes,LC,No,Volant,127,41.3,Shrubland,Carnivore,Invertivore,-26.11,26.3,16.4,8,7.9,38.7,204.3,85.4,121.1,172.2,Not threatened
Coracina novaehollandiae,Coracina novaehollandiae,Passeriformes,LC,No,Volant,118,38.4,Forest,Carnivore,Invertivore,-25.69,28.8,15.7,10.7,10.5,28.7,192,73.7,118.5,135.7,Not threatened
Coracina panayensis,Coracina panayensis,Passeriformes,LC,Yes,Volant,111,30.6,Forest,Carnivore,Invertivore,10.79,30.8,19.8,12.1,11.6,23.9,148.1,45.3,102.7,92.5,Not threatened
Coracina papuensis,Coracina papuensis,Passeriformes,LC,No,Volant,63.5,30.1,Woodland,Carnivore,Invertivore,-20.83,32,20.3,11.4,11.2,25.3,154.1,47.2,109.5,109.5,Not threatened
Coracina parvula,Edolisoma parvulum,Passeriformes,LC,Yes,Volant,68,29.7,Forest,Carnivore,Invertivore,0.92,27.5,15.7,9.1,9.3,24.6,147,43.7,103.3,113,Not threatened
Coracina personata,Coracina personata,Passeriformes,LC,Yes,Volant,94.5,27.3,Forest,Carnivore,Invertivore,-8.87,31.9,18.5,11.7,12.2,27.9,164.7,44.5,118.4,132,Not threatened
Coracina schistacea,Coracina schistacea,Passeriformes,LC,Yes,Volant,94.5,32.3,Forest,Carnivore,Omnivore,-1.71,30.6,19.5,12.2,12.1,26.9,158.4,51.1,107.3,132.1,Not threatened
Coracina striata,Coracina striata,Passeriformes,LC,No,Volant,111,30.6,Forest,Carnivore,Invertivore,2.61,30.8,19.8,12.1,11.6,23.9,148.1,45.3,102.7,92.5,Not threatened
Coracina temminckii,Coracina temminckii,Passeriformes,LC,Yes,Volant,101,25,Forest,Carnivore,Invertivore,-1.6,30,17.3,10.8,10.2,24.6,152.9,38.2,114.7,135,Not threatened
Coracina welchmani,Coracina welchmani,Passeriformes,LC,Yes,Volant,135,26.4,Forest,Carnivore,Invertivore,-7.69,40,23.7,14.4,14.3,30.3,185.1,48.9,136.2,148.1,Not threatened
Coracopsis barklyi,Coracopsis barklyi,Psittaciformes,VU,Yes,Volant,186.2,38,Forest,Herbivore,Frugivore,-4.32,26.1,18.5,11.9,17.5,19.2,184.2,70.1,114.2,132,Threatened
Coracopsis nigra,Coracopsis nigra,Psittaciformes,LC,Yes,Volant,186.2,39.5,Forest,Herbivore,Frugivore,-19.38,27.4,21,13.2,19.9,20.7,217.7,85,130.1,149.3,Not threatened
Coracopsis sibilans,Coracopsis sibilans,Psittaciformes,NT,Yes,Volant,186.2,34.2,Forest,Herbivore,Frugivore,-11.87,25.4,18,12.5,18.7,18.6,188.7,64.7,124.1,147.8,Not threatened
Coracopsis vasa,Coracopsis vasa,Psittaciformes,LC,Yes,Volant,525,38.8,Forest,Herbivore,Frugivore,-19.53,45.1,36.4,22.7,35.4,30.8,308.2,119.4,188.3,210.2,Not threatened
Coracornis raveni,Coracornis raveni,Passeriformes,LC,Yes,Volant,36,16.5,Forest,Carnivore,Invertivore,-2.07,15.2,8.5,4.8,4.5,23.4,80.5,13.3,67.2,65.5,Not threatened
Coracornis sanghirensis,Coracornis sanghirensis,Passeriformes,CR,Yes,Volant,32.3,17,Forest,Carnivore,Invertivore,3.51,23.8,12.9,5.7,6.4,23.8,91.8,15.5,76.2,78.6,Threatened
Coragyps atratus,Coragyps atratus,Cathartiformes,LC,No,Volant,1881.7,14.3,Human Modified,Omnivore,Scavenger,-4.79,60,35,14.8,16.1,76.1,410.1,58.4,352.6,180,Not threatened
Corapipo gutturalis,Corapipo gutturalis,Passeriformes,LC,No,Volant,8.2,20.6,Forest,Omnivore,Frugivore,2.81,9.9,5.9,3.1,3.2,15,56.4,11.6,44.9,27.2,Not threatened
Corapipo leucorrhoa,Corapipo leucorrhoa,Passeriformes,LC,No,Volant,11.7,18.8,Forest,Herbivore,Frugivore,9.6,9.8,5.6,3.5,3.6,16.4,57.8,11,47.3,30.7,Not threatened
Corcorax melanorhamphos,Corcorax melanorhamphos,Passeriformes,LC,No,Volant,364,22.6,Woodland,Omnivore,Omnivore,-30.38,49.3,33.6,9.2,11.9,61.5,244.9,55.8,192.2,203.3,Not threatened
Cormobates leucophaea,Cormobates leucophaea,Passeriformes,LC,No,Volant,22,30.5,Forest,Carnivore,Invertivore,-31.52,20,11.2,2.8,3.2,20.7,86.8,26.4,60.3,61.1,Not threatened
Cormobates placens,Cormobates placens,Passeriformes,LC,No,Volant,15.8,25,Forest,Carnivore,Invertivore,-5.21,15.9,8.2,2.9,3,20,83,20.7,62.3,65,Not threatened
Corvus albicollis,Corvus albicollis,Passeriformes,LC,No,Volant,894,39.6,Rock,Omnivore,Omnivore,-17.3,65.9,42.4,19.6,34,75.2,417.1,164.6,250.6,165.6,Not threatened
Corvus albus,Corvus albus,Passeriformes,LC,No,Volant,524,41.9,Shrubland,Carnivore,Omnivore,-2.98,60.4,38.5,15.6,20.6,61.5,353.3,147.9,205.3,177.2,Not threatened
Corvus bennetti,Corvus bennetti,Passeriformes,LC,No,Volant,389,41.1,Shrubland,Omnivore,Omnivore,-25.69,50.7,32,13.4,16.6,55.4,313.5,129.5,184.9,173.3,Not threatened
Corvus brachyrhynchos,Corvus brachyrhynchos,Passeriformes,LC,No,Volant,448.8,35.3,Human Modified,Omnivore,Omnivore,46.23,51.1,35.4,14.7,17.7,59.3,309.6,109.1,199.9,177.3,Not threatened
Corvus capensis,Corvus capensis,Passeriformes,LC,No,Volant,553,35.4,Grassland,Omnivore,Omnivore,-16.5,62.9,46.5,14.5,16,65.6,322.2,114.5,209.2,164.7,Not threatened
Corvus caurinus,Corvus caurinus,Passeriformes,LC,No,Volant,390.8,37.8,Coastal,Omnivore,Omnivore,54.81,48.8,31,13.2,15.9,50.7,277.5,104.7,172.6,156.9,Not threatened
Corvus corax,Corvus corax,Passeriformes,LC,No,Volant,928,39.8,Forest,Omnivore,Omnivore,54.65,77,49.2,21.9,27.9,67.1,419.7,167.2,252.7,228.7,Not threatened
Corvus corone,Corvus corone,Passeriformes,LC,No,Volant,570,36.9,Human Modified,Carnivore,Omnivore,52.96,55,35.9,15.1,18.5,59.4,323.9,119.6,204.6,179.6,Not threatened
Corvus coronoides,Corvus coronoides,Passeriformes,LC,No,Volant,644.3,41.1,Shrubland,Omnivore,Omnivore,-27.75,61.1,39.8,16.2,20.1,63.6,356.1,147.8,211.6,198.7,Not threatened
Corvus crassirostris,Corvus crassirostris,Passeriformes,LC,No,Volant,1135,40.6,Rock,Carnivore,Omnivore,9.52,83.2,56.7,24.3,41.1,78.9,446.9,181.3,265,228.1,Not threatened
Corvus cryptoleucus,Corvus cryptoleucus,Passeriformes,LC,No,Volant,533.5,41.7,Grassland,Carnivore,Omnivore,29.63,55.8,34.3,17.2,20.1,59.5,351.1,146.7,204.4,181.5,Not threatened
Corvus dauuricus,Corvus dauuricus,Passeriformes,LC,No,Volant,208,37.8,Grassland,Omnivore,Omnivore,41.79,34.6,20.3,11,12.8,44.1,232.3,87.8,144.5,128.6,Not threatened
Corvus edithae,Corvus edithae,Passeriformes,LC,No,Volant,524,41,Desert,Carnivore,Omnivore,6.95,52.5,30.9,14.3,18.7,57.7,338.5,138.1,198.2,168.6,Not threatened
Corvus enca,Corvus enca,Passeriformes,LC,No,Volant,251,32.5,Forest,Omnivore,Omnivore,1.25,58,41.4,14.9,19.4,50.4,277.6,92.4,188.4,140.8,Not threatened
Corvus florensis,Corvus florensis,Passeriformes,EN,Yes,Volant,175,25.5,Forest,Omnivore,Omnivore,-8.61,51.5,30.2,12.5,16.5,48.3,226,57.6,168.4,160,Threatened
Corvus frugilegus,Corvus frugilegus,Passeriformes,LC,No,Volant,452.1,41,Grassland,Omnivore,Omnivore,50.24,59.5,39.1,14.8,18.3,55.7,312.3,127.8,184.2,166.8,Not threatened
Corvus fuscicapillus,Corvus fuscicapillus,Passeriformes,NT,No,Volant,635,30.7,Forest,Herbivore,Frugivore,-3.48,74.6,52.1,18.2,26.6,56.5,335.9,103.2,232.8,191.1,Not threatened
Corvus imparatus,Corvus imparatus,Passeriformes,LC,No,Volant,221,35.7,Shrubland,Omnivore,Omnivore,23.69,41.9,26.3,12.7,13,39.6,238.7,84.8,153.7,143.2,Not threatened
Corvus insularis,Corvus insularis,Passeriformes,LC,Yes,Volant,508,37.6,Forest,Omnivore,Omnivore,-5.12,59.8,41.1,17.2,19.5,54.2,312.4,116,192.6,153.2,Not threatened
Corvus jamaicensis,Corvus jamaicensis,Passeriformes,NT,Yes,Volant,338,29.2,Forest,Omnivore,Omnivore,18.16,47.9,32.1,13.9,16.6,46.5,227.7,66.4,161.3,137,Not threatened
Corvus kubaryi,Corvus kubaryi,Passeriformes,CR,Yes,Volant,249.9,27,Forest,Omnivore,Omnivore,14.16,55.2,37.7,13.3,18.3,52.5,226.4,63,170.3,157.6,Threatened
