order,family,species,IUCN_status,origin,latitude,longitude,elevation,acclimated,life_stage_acclimated,acclimation_temp,acclimation_time,life_stage_tested,metric,endpoint,medium_test_temp,start_temp,ramping,photoperiod,mean_UTL,n_UTL
Caudata,Plethodontidae,Desmognathus quadramaculatus,LC,wild,37.375136,-80.522747,1158,acclimated,adults,5,8,adults,CTmax,OS,water,NA,NA,NA,30.1,10
Caudata,Plethodontidae,Desmognathus quadramaculatus,LC,wild,37.375136,-80.522747,1158,acclimated,adults,15,6,adults,CTmax,OS,water,NA,NA,NA,31.4,8
Caudata,Plethodontidae,Desmognathus quadramaculatus,LC,wild,37.375136,-80.522747,1158,acclimated,adults,21.5,2,adults,CTmax,OS,water,NA,NA,NA,31.9,19
Caudata,Plethodontidae,Desmognathus quadramaculatus,LC,wild,37.375136,-80.522747,1158,field-fresh,NA,NA,NA,adults,CTmax,OS,water,NA,NA,NA,31.125,4
Caudata,Plethodontidae,Desmognathus fuscus,LC,wild,37.375136,-80.522747,1158,acclimated,adults,5,7.5,adults,CTmax,OS,water,NA,NA,NA,31,9
Caudata,Plethodontidae,Desmognathus fuscus,LC,wild,37.375136,-80.522747,1158,acclimated,adults,10,6,adults,CTmax,OS,water,NA,NA,NA,32.2,10
Caudata,Plethodontidae,Desmognathus fuscus,LC,wild,36.638729,-81.605392,1433,acclimated,adults,21.5,5,adults,CTmax,OS,water,NA,NA,NA,33.5,8
Caudata,Salamandridae,Notophthalmus viridescens,LC,wild,37.375136,-80.522747,1158,acclimated,adults,5,1,adults,CTmax,OS,water,NA,NA,NA,34.5,1
Caudata,Salamandridae,Notophthalmus viridescens,LC,wild,37.375136,-80.522747,1158,acclimated,adults,21.5,5,adults,CTmax,OS,water,NA,NA,NA,37.3,10
Caudata,Salamandridae,Notophthalmus viridescens,LC,wild,37.375136,-80.522747,1158,field-fresh,NA,NA,NA,adults,CTmax,OS,water,NA,NA,NA,38.1,5
Caudata,Plethodontidae,Desmognathus ochrophaeus,LC,wild,36.638729,-81.605392,1555,acclimated,adults,21.5,5,adults,CTmax,OS,water,NA,NA,NA,31.5,9
Caudata,Plethodontidae,Eurycea bislineata,LC,wild,37.375136,-80.522747,457,acclimated,adults,21.5,NA,adults,CTmax,OS,water,NA,NA,NA,35,1
Caudata,Plethodontidae,Eurycea bislineata,LC,wild,37.375136,-80.522747,457,field-fresh,NA,NA,NA,adults,CTmax,OS,water,NA,NA,NA,34,1
Caudata,Plethodontidae,Pseudotriton ruber,LC,wild,37.375136,-80.522747,457,acclimated,adults,21.5,NA,adults,CTmax,OS,water,NA,NA,NA,35.25,2
Anura,Hylidae,Dendropsophus minutus,LC,wild,-23.364525,-44.826944,35,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,33.81688669,11
